label,normalized_label,sample_count,unique_signers,unique_batches,avg_frame_count,median_frame_count,min_frame_count,max_frame_count,avg_left_hand_frame_pct,avg_right_hand_frame_pct,avg_both_hands_missing_frame_pct,samples_missing_stickman,samples_with_no_left_hand,samples_with_no_right_hand,samples_with_no_hands,label_flags
SWEAT,sweat,2,2,2,44.5,44.5,41,48,81.25,79.31,12.5,0,0,0,0,low_sample_count
SWEET,sweet,4,4,2,37.25,39.0,11,60,97.45,68.84,0.0,0,0,0,0,
SWEETHEART,sweetheart,1,1,1,40,40,40,40,100.0,100.0,0.0,0,0,0,0,single_sample
SWIM,swim,2,2,1,28,28.0,22,34,73.13,73.13,11.9,0,0,0,0,low_sample_count
TABLE,table,4,4,1,36.25,41.5,10,52,80.65,71.63,6.34,0,0,0,0,
TAKE,take,4,4,1,35.25,36.5,27,41,96.8,89.97,0.0,0,0,0,0,
TALL,tall,4,4,1,40.75,32.0,31,68,75.0,75.66,9.68,0,1,0,0,
TANA,tana,1,1,1,64,64,64,64,93.75,100.0,0.0,0,0,0,0,single_sample
TAP,tap,1,1,1,51,51,51,51,62.75,54.9,29.41,0,0,0,0,single_sample
TARGET,target,1,1,1,53,53,53,53,84.91,77.36,5.66,0,0,0,0,single_sample
TAX,tax,1,1,1,30,30,30,30,100.0,83.33,0.0,0,0,0,0,single_sample
TEA,tea,1,1,1,25,25,25,25,68.0,36.0,32.0,0,0,0,0,single_sample
TEACHER,teacher,5,5,2,36.6,26,14,71,67.51,92.56,7.44,0,0,0,0,
TEAM,team,2,2,1,48.5,48.5,41,56,100.0,99.1,0.0,0,0,0,0,low_sample_count
TEAR,tear,2,2,2,54,54.0,46,62,94.35,90.0,0.0,0,0,0,0,low_sample_count
TELL,tell,1,1,1,27,27,27,27,77.78,88.89,0.0,0,0,0,0,single_sample
TERRY,terry,1,1,1,45,45,45,45,0.0,82.22,17.78,0,1,0,0,single_sample
TEST,test,1,1,1,101,101,101,101,0.0,73.27,26.73,0,1,0,0,single_sample
THAT,that,15,15,2,30.93,27,12,55,82.28,83.15,1.05,0,0,0,0,
THEM,them,4,4,2,34.5,29.5,25,54,71.0,91.18,8.82,0,1,0,0,
THERE,there,7,7,2,21.43,21,15,28,71.68,89.73,2.86,0,1,0,0,
THEY,they,3,3,2,23.33,19,13,38,56.41,70.31,24.56,0,1,0,0,
THIEF,thief,2,2,2,42.5,42.5,31,54,74.17,75.81,14.52,0,0,0,0,low_sample_count
THIN,thin,1,1,1,44,44,44,44,70.45,77.27,15.91,0,0,0,0,single_sample
THINK,think,2,2,1,27,27.0,20,34,50.0,95.0,5.0,0,1,0,0,low_sample_count
THIS,this,16,16,2,31.88,25.5,14,74,74.78,70.83,10.61,0,1,0,0,
THOSE,those,1,1,1,40,40,40,40,97.5,100.0,0.0,0,0,0,0,single_sample
THROUGH,through,1,1,1,85,85,85,85,95.29,87.06,2.35,0,0,0,0,single_sample
THUMB,thumb,1,1,1,54,54,54,54,100.0,96.3,0.0,0,0,0,0,single_sample
TIE,tie,2,2,2,48.5,48.5,35,62,77.97,78.16,3.23,0,0,0,0,low_sample_count
TIME,time,5,5,2,45,39,20,81,81.24,72.05,10.27,0,0,0,0,
TODAY,today,5,5,2,28,28,20,33,66.97,49.04,26.82,0,0,0,0,
TOGETHER,together,2,2,2,39.5,39.5,31,48,50.77,61.02,34.81,0,0,0,0,low_sample_count
TOM,tom,1,1,1,51,51,51,51,100.0,100.0,0.0,0,0,0,0,single_sample
TOMATOE,tomatoe,1,1,1,42,42,42,42,97.62,92.86,2.38,0,0,0,0,single_sample
TOMMORROW,tommorrow,1,1,1,44,44,44,44,0.0,100.0,0.0,0,1,0,0,single_sample
TOMORROW,tomorrow,1,1,1,41,41,41,41,82.93,97.56,0.0,0,0,0,0,single_sample
TRADITION,tradition,1,1,1,25,25,25,25,100.0,92.0,0.0,0,0,0,0,single_sample
TRAIN,train,1,1,1,29,29,29,29,100.0,62.07,0.0,0,0,0,0,single_sample
TRANSPORT,transport,1,1,1,61,61,61,61,65.57,65.57,14.75,0,0,0,0,single_sample
TRAVEL,travel,1,1,1,30,30,30,30,96.67,100.0,0.0,0,0,0,0,single_sample
TREE,tree,4,4,2,41.5,35.0,18,78,94.77,84.45,0.0,0,0,0,0,
TRUE,true,17,17,2,26.41,26,17,37,76.65,64.38,17.04,0,1,2,0,
TSHIRT,tshirt,1,1,1,30,30,30,30,86.67,76.67,13.33,0,0,0,0,single_sample
TWIN,twin,1,1,1,38,38,38,38,100.0,76.32,0.0,0,0,0,0,single_sample
TWO,two,2,2,2,22.5,22.5,20,25,50.0,94.0,0.0,0,1,0,0,low_sample_count
TYPE,type,2,2,1,36.5,36.5,34,39,76.84,47.13,17.64,0,0,0,0,low_sample_count
UGALI,ugali,2,2,1,30.5,30.5,25,36,23.61,53.89,30.84,0,1,0,0,low_sample_count
UNDER,under,1,1,1,21,21,21,21,95.24,90.48,0.0,0,0,0,0,single_sample
UNDERSTAND,understand,1,1,1,31,31,31,31,100.0,100.0,0.0,0,0,0,0,single_sample
UNITE,unite,1,1,1,35,35,35,35,88.57,91.43,0.0,0,0,0,0,single_sample
UNITY,unity,1,1,1,39,39,39,39,100.0,84.62,0.0,0,0,0,0,single_sample
UNIVERSITY,university,1,1,1,24,24,24,24,58.33,75.0,16.67,0,0,0,0,single_sample
UP,up,5,5,2,33.4,35,25,42,51.5,70.92,15.62,0,1,0,0,
UPSET,upset,1,1,1,64,64,64,64,100.0,96.88,0.0,0,0,0,0,single_sample
US,us,2,2,2,29,29.0,14,44,100.0,72.72,0.0,0,0,0,0,low_sample_count
USE,use,4,4,2,31.25,27.5,18,52,97.92,84.22,1.04,0,0,0,0,
VALUE,value,1,1,1,18,18,18,18,83.33,88.89,5.56,0,0,0,0,single_sample
VERTICAL,vertical,1,1,1,64,64,64,64,15.62,60.94,39.06,0,0,0,0,single_sample
VERY,very,3,3,1,38,38,34,42,94.51,100.0,0.0,0,0,0,0,
VIDEO,video,2,2,2,57,57.0,57,57,60.52,32.46,28.07,0,0,0,0,low_sample_count
VIEW,view,1,1,1,22,22,22,22,90.91,90.91,0.0,0,0,0,0,single_sample
VILLAGE,village,3,3,1,34.67,33,29,42,100.0,84.23,0.0,0,0,0,0,
VISIT,visit,2,2,2,37,37.0,36,38,100.0,78.94,0.0,0,0,0,0,low_sample_count
VISITOR,visitor,2,2,2,26.5,26.5,26,27,79.06,49.43,13.32,0,0,0,0,low_sample_count
VISTOR,vistor,1,1,1,27,27,27,27,85.19,44.44,11.11,0,0,0,0,single_sample
VOCABULARY,vocabulary,1,1,1,24,24,24,24,0.0,100.0,0.0,0,1,0,0,single_sample
VOICE,voice,1,1,1,15,15,15,15,0.0,60.0,40.0,0,1,0,0,single_sample
VOLLEYBALL,volleyball,1,1,1,51,51,51,51,100.0,94.12,0.0,0,0,0,0,single_sample
VOLUME,volume,1,1,1,27,27,27,27,100.0,96.3,0.0,0,0,0,0,single_sample
WALK,walk,1,1,1,37,37,37,37,100.0,78.38,0.0,0,0,0,0,single_sample
WANT,want,5,5,2,25,26,17,30,78.67,78.65,0.0,0,1,0,0,
WARN,warn,2,2,2,41,41.0,32,50,2.0,53.69,45.31,0,1,0,0,low_sample_count
WARNING,warning,1,1,1,42,42,42,42,100.0,90.48,0.0,0,0,0,0,single_sample
WASTE,waste,1,1,1,17,17,17,17,64.71,58.82,35.29,0,0,0,0,single_sample
WATER,water,2,2,1,35,35.0,30,40,42.5,47.5,36.25,0,1,0,0,low_sample_count
WAY,way,1,1,1,31,31,31,31,67.74,77.42,19.35,0,0,0,0,single_sample
WE,we,9,9,2,32.67,33,18,50,64.96,72.24,7.83,0,1,0,0,
WEAR,wear,1,1,1,35,35,35,35,100.0,71.43,0.0,0,0,0,0,single_sample
WEATHER,weather,1,1,1,73,73,73,73,98.63,79.45,0.0,0,0,0,0,single_sample
WED,wed,2,2,1,40,40.0,18,62,62.91,77.86,16.93,0,0,0,0,low_sample_count
WEEK,week,2,2,1,34.5,34.5,29,40,76.03,79.35,6.89,0,0,0,0,low_sample_count
WELL,well,3,3,2,25.33,24,22,30,95.83,97.22,1.39,0,0,0,0,
WET,wet,1,1,1,49,49,49,49,100.0,87.76,0.0,0,0,0,0,single_sample
WHAT,what,3,3,2,28,23,20,41,86.35,60.17,7.14,0,0,0,0,
WHEEL,wheel,1,1,1,35,35,35,35,40.0,11.43,60.0,0,0,0,0,single_sample
WHEN,when,1,1,1,29,29,29,29,62.07,65.52,13.79,0,0,0,0,single_sample
WHERE,where,3,3,2,25.33,25,23,28,81.62,87.19,10.03,0,0,0,0,
WHISPER,whisper,1,1,1,43,43,43,43,100.0,95.35,0.0,0,0,0,0,single_sample
WHISTLE,whistle,1,1,1,37,37,37,37,100.0,48.65,0.0,0,0,0,0,single_sample
WHITE,white,2,2,2,34,34.0,24,44,48.87,80.68,0.0,0,1,0,0,low_sample_count
WHO,who,6,6,2,26.67,21.5,15,53,39.16,72.52,20.15,0,2,0,0,
WHOLE,whole,1,1,1,88,88,88,88,98.86,100.0,0.0,0,0,0,0,single_sample
WHY,why,1,1,1,20,20,20,20,100.0,100.0,0.0,0,0,0,0,single_sample
WIDE,wide,1,1,1,38,38,38,38,68.42,84.21,15.79,0,0,0,0,single_sample
WILD,wild,2,2,2,19.5,19.5,15,24,100.0,60.0,0.0,0,0,0,0,low_sample_count
WILL,will,1,1,1,10,10,10,10,100.0,0.0,0.0,0,0,1,0,single_sample
WIN,win,1,1,1,33,33,33,33,93.94,78.79,0.0,0,0,0,0,single_sample
WINDOW,window,1,1,1,19,19,19,19,68.42,68.42,15.79,0,0,0,0,single_sample
WINNIE,winnie,1,1,1,168,168,168,168,100.0,100.0,0.0,0,0,0,0,single_sample
WISE,wise,2,2,1,36,36.0,34,38,50.0,91.95,1.47,0,1,0,0,low_sample_count
WISH,wish,1,1,1,27,27,27,27,92.59,88.89,0.0,0,0,0,0,single_sample
WITHOUT,without,1,1,1,52,52,52,52,94.23,100.0,0.0,0,0,0,0,single_sample
WOMAN,woman,4,4,2,18,19.0,14,20,75.0,92.5,0.0,0,1,0,0,
WOMEN,women,1,1,1,22,22,22,22,100.0,100.0,0.0,0,0,0,0,single_sample
WOOD,wood,2,2,2,19.5,19.5,18,21,89.69,80.16,4.76,0,0,0,0,low_sample_count
WORD,word,3,3,2,18.67,18,15,23,55.56,97.78,0.0,0,1,0,0,
WORK,work,12,12,2,32.33,28.0,14,51,72.06,66.9,11.04,0,0,0,0,
WORKER,worker,1,1,1,21,21,21,21,71.43,90.48,0.0,0,0,0,0,single_sample
WORSHIP,worship,1,1,1,34,34,34,34,94.12,100.0,0.0,0,0,0,0,single_sample
WRINKLES,wrinkles,1,1,1,72,72,72,72,97.22,94.44,2.78,0,0,0,0,single_sample
WRIST,wrist,1,1,1,35,35,35,35,85.71,91.43,0.0,0,0,0,0,single_sample
WRITE,write,5,5,2,33,34,26,36,71.71,57.7,23.63,0,1,0,0,
YESTERDAY,yesterday,1,1,1,48,48,48,48,100.0,97.92,0.0,0,0,0,0,single_sample
YOU,you,19,19,2,25.47,22,10,47,69.63,76.41,10.32,0,3,0,0,
YOUNG,young,1,1,1,27,27,27,27,0.0,44.44,55.56,0,1,0,0,single_sample
YOUR,your,6,6,2,32.67,20.5,15,61,54.92,96.7,3.3,0,2,0,0,
YOURS,yours,14,14,2,26.29,23.0,12,67,69.7,97.83,2.17,0,4,0,0,
YOUTH,youth,1,1,1,32,32,32,32,100.0,93.75,0.0,0,0,0,0,single_sample
ZERO,zero,4,4,1,39.5,39.5,28,51,96.51,94.63,2.33,0,0,0,0,
ZIGZAG,zigzag,1,1,1,42,42,42,42,100.0,100.0,0.0,0,0,0,0,single_sample
